Jan Fev Mars Avril May Juin Juil Aout Sept Oct Nov Dec 
ClienteleFeminine 26 21 26 28 20 20 20 20 20 40 15 40 
Locale 69 70 77 71 37 36 39 39 55 60 68 72
USA 7 6 3 6 23 14 19 14 9 6 8 8
AmerSud 0 0 0 0 8 6 6 4 2 12 0 0 
Europe 20 15 14 15 23 27 22 30 27 19 19 17
MOrientAfrique 1 0 0 8 6 4 6 4 2 1 0 1
Asie 3 10 6 0 3 13 8 9 5 2 5 2
Business 78 80 85 86 85 87 70 76 87 85 87 80
Touristes 22 20 15 14 15 13 30 24 13 15 13 20
ResDirecte 70 70 78 74 69 68 74 75 68 68 64 75
ResAgents 20 18 19 17 27 27 19 19 26 27 21 15
EquipageAeriens 10 12 6 9 4 5 7 6 6 5 15 10
MoinsDe20 2 2 4 2 2 1 1 2 2 4 2 5
De20a55 25 27 37 35 25 25 27 28 24 30 24 30
De35a55 48 49 42 48 54 55 53 51 55 46 55 43
PlusDe55 25 22 17 15 19 19 19 19 19 20 19 22
Prix 163 167 166 174 152 155 145 170 157 174 165 156
Duree 1.65 1.71 1.65 1.91 1.9 2 1.54 1.6 1.73 1.82 1.66 1.44
Occupation 67 82 70 83 74 77 56 62 90 92 78 55
Foires 0 0 0 1 1 1 0 0 1 1 1 1
